epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,98.3099,0.64696,0.93628,1.02056,0.67395,0.69074,0.85257,0.56179,1.62478,1.48038,1.36471,2.82082e-05,2.82082e-05,2.82082e-05
40,100.663,0.80192,0.83805,1.16666,0.67395,0.69074,0.85257,0.56179,1.62478,1.48038,1.36471,2.84911e-05,2.84911e-05,2.84911e-05
41,103.018,0.75767,0.92642,1.06113,0.68207,0.66552,0.76929,0.48791,1.59484,1.49081,1.35653,2.87504e-05,2.87504e-05,2.87504e-05
42,105.314,0.87999,1.88401,1.27725,0.68207,0.66552,0.76929,0.48791,1.59484,1.49081,1.35653,2.89861e-05,2.89861e-05,2.89861e-05
43,107.675,0.84635,1.2218,1.22832,0.67823,0.65,0.76238,0.47306,1.62135,1.5302,1.38428,2.91983e-05,2.91983e-05,2.91983e-05
44,109.998,1.07476,0.98624,1.45156,0.67823,0.65,0.76238,0.47306,1.62135,1.5302,1.38428,2.93869e-05,2.93869e-05,2.93869e-05
45,112.371,0.61311,0.9256,0.99474,0.69168,0.65,0.76251,0.47229,1.60969,1.5469,1.38071,2.9552e-05,2.9552e-05,2.9552e-05
46,114.876,0.81892,0.99764,1.26861,0.69168,0.65,0.76251,0.47229,1.60969,1.5469,1.38071,2.96935e-05,2.96935e-05,2.96935e-05
47,117.299,0.88528,1.46303,1.36126,0.73572,0.65,0.7323,0.43907,1.62211,1.60259,1.38669,2.98114e-05,2.98114e-05,2.98114e-05
48,119.666,0.78724,1.63395,1.17226,0.73572,0.65,0.7323,0.43907,1.62211,1.60259,1.38669,2.99058e-05,2.99058e-05,2.99058e-05
49,122.097,0.67282,0.72336,1.24557,0.6841,0.65,0.70533,0.41426,1.62322,1.62197,1.38762,2.99766e-05,2.99766e-05,2.99766e-05
50,124.438,0.80314,0.81153,1.29463,0.6841,0.65,0.70533,0.41426,1.62322,1.62197,1.38762,3.00238e-05,3.00238e-05,3.00238e-05
51,126.749,0.85786,0.83959,1.15555,0.65923,0.67497,0.69821,0.40628,1.59142,1.63358,1.38029,3.00475e-05,3.00475e-05,3.00475e-05
52,129.017,0.97472,0.96959,1.34818,0.65923,0.67497,0.69821,0.40628,1.59142,1.63358,1.38029,3.00476e-05,3.00476e-05,3.00476e-05
